Changed?,String,String_di,Location,Notes,
,All enemy dice that roll 2 must be used first.,Los lanzamientos enemigos que saquen 2 se deben usar primero.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 3 must be used first.,Los lanzamientos enemigos que saquen 3 se deben usar primero.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 4 must be used first.,Los lanzamientos enemigos que saquen 4 se deben usar primero.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 5 must be used first.,Los lanzamientos enemigos que saquen 5 se deben usar primero.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,All enemy dice that roll 6 must be used first.,Los lanzamientos enemigos que saquen 6 se deben usar primero.,Status Effect,Tooltip for Parallel Universe mode Counterspell,
,Pierce,Perforar,Status Effect,Ignore enemy shields,
,Next attack ignores shield.,El siguiente ataque ignora escudos.,Status Effect,Tooltip for Pierce,
,Illuminate,Iluminar,Status Effect,Get extra dice next turn,
,Stash some dice for next turn.,Guarda unos dados para después.,Status Effect,Tooltip for Illuminate and Latern,
,Extraturn,Turno extra,Status Effect,Get an extra turn,
,Take an extra turn.,Coge un turno extra.,Status Effect,Tooltip for Extra Turn,
,All equipment becomes reusable.,Todo el equipo se puede reutilizar.,Status Effect,Tooltip for Recycle,
,Fight!,¡A luchar!,Special Animation,Appears in the sign animation before each fight – we will be creating a custom animation for this!,
,You Win!,¡Tú ganas!,Special Animation,Appears in the sign animation after each fight – we will be creating a custom animation for this!,
,You Win,Tú ganas,Special Animation,Appears in the sign animation after completing the dungeon – we will be creating a custom animation for this!,
,EXP,EXP.,Special Animation,Appears in the sign animation after each fight – we will be creating a custom animation for this!,
,Limit Break,Habilidad especial,Special Animation,Appears in the animation when limit break is ready – we will be creating a custom animation for this!,
* previously,[quote]I'm here to have fun|and fight monsters!||Back home[;] I love|working out[;] long walks|on the beach[;] and|working out![quote],[quote]¡He venido a divertirme|y luchar contra monstruos!||En mi día a día[;] disfruto|haciendo ejercicio[;] paseando|por la playa ¡y|haciendo más ejercicio![quote],Character Selection,Warrior intro text (updated!),
* previously,[quote]I'm not here to make|friends. I'm here to win.||Everyone else is too[;]|of course - they're|just lying about it.[quote],[quote]No he venido a|hacer amigos. He venido a ganar.||El resto también[;]|por supuesto[;] pero...|es que están mintiendo.[quote],Character Selection,Thief intro text (updated!),
* previously,[quote]BEEP BOOP[;] HUMANS!||Haha[;] just joking[;] I can|definitely talk. I love|colour-coded to-do|lists and pushing|myself to my limits![quote],[quote]¡BIP[;] BUP[;] HUMANOS!||Ja[;] ja[;] estoy de broma[;]|sí que puedo hablar. ¡Me encantan|las listas de tareas|por colores y|superar mis límites![quote],Character Selection,Robot intro text (updated!),
* previously,[quote]Oh wow[;] this place is|so cool! The doors!|The spotlights!||Oops[;] sorry[;] I mean[;]|thanks for having me|on the show![quote],[quote]¡Hala[;] cómo mola|este sitio! ¡Las puertas!|¡Los focos!||Ay[;] lo siento. Bueno[;]|¡gracias por invitarme|al concurso![quote],Character Selection,Inventor intro text (updated!),
* previously,[quote]Hey[;] everyone! I'm|#blessed to be going|on this amazing|adventure with you.||Don't forget to|subscribe for updates![quote],[quote]¡Hola a todos! Qué|alegría participar en|esta fantástica|aventura contigo.||¡Suscríbete para estar|al tanto de las actualizaciones![quote],Character Selection,Witch intro text (updated!),
* previously,[quote]I've turned on my|former boss[;] Lady Luck|herself[;] and joined a|hapless band of dice|people.||I have no regrets!|I hope![quote],[quote]Me rebelé contra mi|antigua jefa[;] la mismísima|Fortuna[;] y me uní a|un grupete de dados|desamparados.||¡Y no me arrepiento!|¡O eso espero![quote],Character Selection,Jester intro text (updated!),
* previously,[quote]Woah[;] this is|exhausting! It turns|out you CAN get|too much exercise.||But hey[;] fighting|monsters is still fun![quote],[quote]¡Uf[;] esto|cansa mucho! Resulta que|PUEDES hacer|demasiado ejercicio.||Pero oye[;] ¡luchar|con monstruos está guay![quote],Character Selection,Warrior midgame description text,
* previously,[quote]Sure[;] the dungeons|are getting harder.|Maybe someone weak|would give up.||But this is a competition|and I'm still in it|to win it![quote],[quote]Sí[;] las mazmorras|se ponen chungas.|Quizá un debilucho|se rendiría.||¡Pero esto es un concurso|y sigo estando|aquí para ganar![quote],Character Selection,Thief midgame description text,
* previously,[quote]Really beeping and|booping my way through|these dungeons!||I'm sure if I try|hard enough[;] I won't|mess up any more![quote],[quote]¡Estoy que me salgo|con bips y bups|en las mazmorras!||¡Seguro que si me|esfuerzo mucho[;] no tendré|ningún problema![quote],Character Selection,Robot midgame description text,
* previously,[quote]Are all these sets on a|big rotating stage? How|does the shopkeeper|move around so fast?||I guess if I win|ultimate knowledge[;]|I can find out![quote],[quote]¿Estos decorados están|en un escenario que gira? ¿Cómo|se mueve tan rápido|la de la tienda?||¡Supongo que con|el conocimiento total[;]|podré descubrirlo![quote],Character Selection,Inventor midgame description text,
* previously,[quote]Hi everyone! I'm learning|so much about myself[;]|and also about|fighting monsters!||#blesse- Oh no! There's|no signal! What's|the WiFi password?[quote],[quote]¡Hola a todos! ¡Estoy|aprendiendo mucho sobre|mí y también|luchando con monstruos!||#molamazo- ¡Ay[;] no! ¡No hay|señal! ¿La contraseña|del wifi?[quote],Character Selection,Witch midgame description text,
* previously,[quote]You may remember|me from all those|fights where I was|a cool enemy!||But I'm glad to be|a giant fighting dice|now. This is fine.[quote],[quote]¡Quizá me recordéis|de todas esas|peleas en las que|era un enemigo guay!||Pero ahora me alegro|de ser un dado gigante|luchador. Esto mola.[quote],Character Selection,Jester midgame description text,
* previously,[quote]Look[;] I do really|want super-strength|and a monster truck[;]|but maybe we could|all just go home|some time?[quote],[quote]Mira[;] de verdad|quiero tener superfuerza|y un monster truck[;]|pero ¿y si nos|vamos todos a casa|de una vez?[quote],Character Selection,Warrior endgame description text,
* previously,[quote]This is... tougher than I|expected! If I don't win|the billion dollars I'll|have to sue for a|billion dollars!||Wait[;] why is my signature|on this liability waiver?[quote],[quote]Esto es... ¡más duro de|lo que pensaba! Si no gano los|mil millones[;] ¡tendré|que demandaros para|conseguirlos!||Espera[;] ¿qué hace mi firma|en este descargo de responsabilidad?[quote],Character Selection,Thief endgame description text,
* previously,[quote]Hey[;] could I get a coffee[;]|do you think? I've been|sleeping so badly down|here.||Haha[;] kinda funny that|I'm trying to win a life|without sleep! Isn't it![quote],[quote]Eh[;] ¿alguien puede[;]|traerme un café? He estado|durmiendo muy mal|aquí abajo.||¡Ja[;] ja[;] tiene gracia|que quiera ganar una|vida sin sueño! ¡Me mondo![quote],Character Selection,Robot endgame description text,
* previously,[quote]The closer I look at|all these contraptions|and gadgets[;] the more|they seem built to stop|us from winning.||But that can't be right![quote],[quote]Cuanto más examino|todos estos aparatos|y artilugios[;] más|parece que están hechos|para evitar que ganemos.||¡No es posible![quote],Character Selection,Inventor endgame description text,
* previously,[quote]Hi everyone! Still here|in the dungeons[;] and|it's such a wonderful...|um[;] a great...  ugh[;] sorry[;]|can we re-record?||No? Oh.[quote],[quote]¡Hola a todos! Aquí sigo|en las mazmorras y|es magnífico...|mmm[;] genial que...  uf[;] lo siento[;]|¿podemos repetirlo?||¿No? Vaya.[quote],Character Selection,Witch endgame description text,
* previously,[quote]Hello there! I've made|my bed[;] and now I'm|going to burn it down!||The bed is a metaphor|for the dungeons![quote],[quote]¡Buenas! ¡He hecho|la cama y ahora voy a|quemarla!||¡La cama es una metáfora|sobre las mazmorras![quote],Character Selection,Jester endgame description text,
* previously,[quote]We defeated Lady Luck[;]|so I'm just having fun|now! Having fun and|staying hydrated!||Fighting monsters is an|amazing workout![quote],[quote]Hemos derrotado a Fortuna[;]|así que ahora[;] ¡a pasarlo|bien! ¡A pasarlo bien|y a hidratarse!||¡Luchar con monstruos|es muy agotador![quote],Character Selection,Warrior post-endgame description text,
* previously,[quote]You know[;] I might not|have a billion dollars[;]|but if I find enough of|those solid gold coins|they'll be worth a|whole lot in the outside|world...[quote],[quote]Mira;] quizás no|tengo mil millones[;]|pero si encuentro bastantes|monedas de oro[;]|podrían llegar a|valer un dineral en el|mundo exterior...[quote],Character Selection,Thief post-endgame description text,
* previously,[quote]Returning to the|dungeons is a great way|to spend time with friends|and keep myself sharp!||I even brought some|thoughtful gifts for|the monsters.[quote],[quote]¡Volver a las mazmorras|es una gran forma de|pasar un rato con amigos|y ponerme a tono!||Incluso he traído|unos bonitos regalos|para los monstruos.[quote],Character Selection,Robot post-endgame description text,
* previously,[quote]Now that we're not all|distracted by trying to|escape[;] maybe I'll|finally be able to figure|out how this place|works![quote],[quote]Ahora que no estamos|todos distraídos intentado|escapar[;] quizá|pueda por fin averiguar|cómo funciona|este sitio.[quote],Character Selection,Inventor post-endgame description text,
* previously,[quote]Hey[;] friends! Turns out|you loved my Dicey|Dungeons videos[;] so I'm|back for more. Hope you|like them... just don't|forget to watch my non|dungeon content as well![quote],[quote]¡Hola[;] amigos! Como os|han encantado mis vídeos|de Dicey Dungeons[;] he|vuelto con más. Espero|que os gusten... ¡Recordad|que hay más contenido|de otras temáticas![quote],Character Selection,Witch post-endgame description text,
* previously,[quote]I'm glad I can leave now[;]|but I lived in the dungeons|for hundreds of years.||You can't blame me|for getting homesick|sometimes...[quote],[quote]Me alegra poder marcharme[;]|pero he vivido cientos|de años en las mazmorras.||Es normal que|tenga morriña|de vez en cuando...[quote],Character Selection,Jester post-endgame description text,
* previously,Design,Diseño,Final Credits,Credit headers as they will appear in the ending,
* previously,Music and Audio,Música y sonido,Final Credits,Credit headers as they will appear in the ending,
* previously,Art[;] Animation and Character Design,Arte[;] animación y diseño de personajes,Final Credits,Credit headers as they will appear in the ending,
* previously,Programming,Programación,Final Credits,Credit headers as they will appear in the ending,
* previously,PR and Marketing,Relaciones públicas y marketing,Final Credits,Credit headers as they will appear in the ending,
* previously,Writing,Guion,Final Credits,Credit headers as they will appear in the ending,
* previously,Polymod Support,Asistencia de Polymod,Final Credits,Credit headers as they will appear in the ending,
* previously,Voice Acting,Voces de doblaje,Final Credits,Credit headers as they will appear in the ending,
* previously,Proofreading,Revisión de texto,Final Credits,Credit headers as they will appear in the ending,
* previously,Launch Trailer,Tráiler de lanzamiento,Final Credits,Credit headers as they will appear in the ending,
* previously,PAX South Trailer,Tráiler de PAX South,Final Credits,Credit headers as they will appear in the ending,
* previously,Design Contributions (Enemies),Contribuciones de diseño (enemigos),Final Credits,Credit headers as they will appear in the ending,
* previously,Design Contributions (Equipment),Contribuciones de diseño (equipo),Final Credits,Credit headers as they will appear in the ending,
* previously,Design Contributions (Systems),Contribuciones de diseño (sistemas),Final Credits,Credit headers as they will appear in the ending,
* previously,Design Contributions (Detailed Playtesting),Contribuciones de diseño (testeo de juego detallado),Final Credits,Credit headers as they will appear in the ending,
* previously,Beta Testing,Testeo de fase beta,Final Credits,Credit headers as they will appear in the ending,
* previously,German Translation,Traducción al alemán,Final Credits,Credit headers as they will appear in the ending,
* previously,French Translation,Traducción al francés,Final Credits,Credit headers as they will appear in the ending,
* previously,Spanish Translation,Traducción al español,Final Credits,Credit headers as they will appear in the ending,
* previously,Irish Translation,Traducción al irlandés,Final Credits,Credit headers as they will appear in the ending,
* previously,Korean Translation,Traducción al coreano,Final Credits,Credit headers as they will appear in the ending,
* previously,Chinese Translation (Simplified),Traducción al chino (simplificado),Final Credits,Credit headers as they will appear in the ending,
* previously,Chinese Translation (Traditional),Traducción al chino (tradicional),Final Credits,Credit headers as they will appear in the ending,
* previously,Japanese Translation,Traducción al japonés,Final Credits,Credit headers as they will appear in the ending,
* previously,Silesian Translation,Traducción al silesio,Final Credits,Credit headers as they will appear in the ending,
* previously,Italian Translation,Traducción al italiano,Final Credits,Credit headers as they will appear in the ending,
* previously,Portuguese Translation,Traducción al portugués,Final Credits,Credit headers as they will appear in the ending,
* previously,Brazillian Portuguese Translation,Traducción al portugués brasileño,Final Credits,Credit headers as they will appear in the ending,
* previously,Dutch Translation,Traducción al neerlandés,Final Credits,Credit headers as they will appear in the ending,
* previously,Russian Translation,Traducción al ruso,Final Credits,Credit headers as they will appear in the ending,
* previously,Polish Translation,Traducción al polaco,Final Credits,Credit headers as they will appear in the ending,
* previously,Turkish Translation,Traducción al turco,Final Credits,Credit headers as they will appear in the ending,
* previously,Publishling in China,Servicios de publicación en China,Final Credits,Credit headers as they will appear in the ending,
* previously,Special Thanks,Agradecimientos especiales,Final Credits,Credit headers as they will appear in the ending,
* previously,Everyone on the dicecord[;] for their amazing feedback and support [heart],A todo el grupo de dicecord por su inestimable apoyo y sus comentarios [heart],Final Credits,Special thanks,
*** new,Favourite food,***,Challenges,Questionaire categories,
*** new,Job,***,Challenges,Questionaire categories,
*** new,Hobbies,***,Challenges,Questionaire categories,
*** new,Greatest fear,***,Challenges,Questionaire categories,
*** new,Childhood pet,***,Challenges,Questionaire categories,
*** new,Likes,***,Challenges,Questionaire categories,
*** new,Dislikes,***,Challenges,Questionaire categories,
*** new,Secret shame,***,Challenges,Questionaire categories,
*** new,Happiest moment,***,Challenges,Questionaire categories,
*** new,Favourite book,***,Challenges,Questionaire categories,
*** new,Karaoke go-to,***,Challenges,Questionaire categories,
*** new,Six things you couldn't live without,***,Challenges,Questionaire categories,
*** new,Reason for entering the dungeons,***,Challenges,Questionaire categories,
*** new,Reason for entering,***,Challenges,Questionaire categories,
*** new,Turn-ons,***,Challenges,Questionaire categories (snowman only),
*** new,Turn-offs,***,Challenges,Questionaire categories (snowman only),
*** new,Bear_Transform,***,Status Effect,New special bonus round status effect,
*** new,Counter reduces by one on each turn.|If it reaches zero[;] transform into a bear.,***,Status Effect,,
*** new,Extra,***,Status Effect,New special bonus round status effect,
*** new,Do [sword]<value> extra damage with each attack this turn.,***,Status Effect,,
*** new,Reflect,***,Status Effect,New special bonus round status effect,
*** new,If defeated[;] reflect any excessive damage back at you.,***,Status Effect,,
*** new,Curse of Greed,***,Episode Selection,Updated episode rules – used to be This’ll be fine,
*** new,Worse than a Curse,***,Episode Selection,Updated episode rules – used to be Vampiric Tendancies,
*** new,You seem pretty tough! Do you really need all that health?|Nah[;] you'll be fine without it.,***,Episode Selection,Updated episode rules – rules for Worse than a Curse,
*** new,Elimination Round,***,Episode Selection,Updated episode rules – new name for what used to be classic hard mode,
*** new,You've got your usual equipment[;] usual health[;] everything.|It's a shame all your enemies have extra health and|upgraded weapons.,***,Episode Selection,Updated episode rules – new description for elimination round,
*** new,Parallel Universe,***,Episode Selection,Updated episode rules,
*** new,Woah[;] everything's different!,***,Episode Selection,Updated episode rules – description for parallel universe,
*** new,Bonus Round,***,Episode Selection,Updated episode rules – sixth and final episode,
*** new,Everything's back to normal again! Until you go down|a floor - the further you go into the dungeons[;] the more|the rules change...,***,Episode Selection,Updated episode rules,
*** new,Start with standard rules.,***,Episode Selection,Updated episode rules,
*** new,Gain bonus rules as you descend further.,***,Episode Selection,Updated episode rules,
*** new,Random,***,Remix screen,Rule changes,
*** new,All enemy equipment is upgraded.,***,Remix screen,Remixed rule,
*** new,Both you and your enemies start each|fight with [fury]Fury[].,***,Remix screen,Remixed rule,
*** new,Enemies can throw unused dice at you.,***,Remix screen,Remixed rule,
*** new,Enemies get 20% extra health.,***,Remix screen,Remixed rule,
*** new,You are [curse]Cursed[] at the start of|every turn.,***,Remix screen,Remixed rule,
*** new,Enemies will [dodge]Dodge[] your first|attack every turn.,***,Remix screen,Remixed rule,
*** new,Burning dice cost [heart]5[] hp to extinguish.,***,Remix screen,Remixed rule,
*** new,One of your dice is [ice]Frozen at the|start of every turn.,***,Remix screen,Remixed rule,
*** new,One of your dice is [fire]Burning at the|start of every turn.,***,Remix screen,Remixed rule,
*** new,On your first turn[;] all your dice rolls|are the same number.,***,Remix screen,Remixed rule,
*** new,Enemies get 10% extra health.,***,Remix screen,Remixed rule,
*** new,Enemies have a chance to go first.,***,Remix screen,Remixed rule,
*** new,Everything in the dungeon looks like|a treasure chest.,***,Remix screen,Remixed rule,
*** new,One of your dice is [blind]Blinded at the|start of every turn.,***,Remix screen,Remixed rule,
*** new,Poison is no longer reduced by 1|each turn.,***,Remix screen,Remixed rule,
*** new,Start with 2 extra dice. Lose 1 dice|every turn[;] until you have just 1 left.,***,Remix screen,Remixed rule,
*** new,If your CPU counter exceeds the|target[;] take [heart]5[] damage.,***,Remix screen,Remixed rule,
*** new,The odds of [curse]Curse[] triggering is|reduced to 25%.,***,Remix screen,Remixed rule,
*** new,Instead of causing equipment to fail[;]|[curse]Curse[] reverses your target.,***,Remix screen,Remixed rule,
*** new,Enemies start each fight with [fury]Fury[].,***,Remix screen,Remixed rule,
*** new,All enemies get a Rock.,***,Remix screen,Remixed rule,
*** new,Lose a dice.,***,Remix screen,Remixed rule,
*** new,Lose [heart]10[] max health.,***,Remix screen,Remixed rule,
*** new,Enemies always roll a 6.,***,Remix screen,Remixed rule,
*** new,You need an even dice to unshock|[shock]Shocked[] equipment.,***,Remix screen,Remixed rule,
*** new,All enemies get an extra dice.,***,Remix screen,Remixed rule,
*** new,Status effects are different.,***,Remix screen,Remixed rule,
*** new,After 4 turns[;] all enemies transform|into bears.,***,Remix screen,Remixed rule,
*** new,Enemies will never roll a 1.,***,Remix screen,Remixed rule,
*** new,You will never roll a 6.,***,Remix screen,Remixed rule,
*** new,Both you and your enemies do +[sword]1|extra damage with each attack.,***,Remix screen,Remixed rule,
*** new,When you defeat an enemy[;] excessive|damage is reflected back at you.,***,Remix screen,Remixed rule,
*** new,Switch to ~Finders Keepers~ rules.,***,Remix screen,Remixed rule,
*** new,All equipment you find is upgraded.,***,Remix screen,Remixed rule,
*** new,All small equipment becomes big.,***,Remix screen,Remixed rule,
*** new,Start each fight with [poison]2 poison.,***,Remix screen,Remixed rule,
*** new,No duplicates! Matching dice vanish|as soon as they are created.,***,Remix screen,Remixed rule,
*** new,Using any piece of equipment will|reroll a random dice.,***,Remix screen,Remixed rule,
*** new,At the start of each turn[;] replace one|of your items with a random item.,***,Remix screen,Remixed rule,
*** new,Shops can sell any item from the game.,***,Remix screen,Remixed rule,
*** new,Add two super enemies.,***,Remix screen,Remixed rule,
*** new,Cannot see enemy health after|the first turn.,***,Remix screen,Remixed rule,
*** new,If you or your enemy rolls a six[;] it|automatically catches on fire.,***,Remix screen,Remixed rule,
*** new,Both you and your enemies start each|fight with [recycle]Re-Equip_Next[].,***,Remix screen,Remixed rule,
*** new,Complete any 6 episodes.,***,Challenges,Challenge achievement,
*** new,Complete any 9 episodes.,***,Challenges,Challenge achievement,
*** new,Complete any 12 episodes.,***,Challenges,Challenge achievement,
*** new,Complete any 15 episodes.,***,Challenges,Challenge achievement,
*** new,Complete any 18 episodes.,***,Challenges,Challenge achievement,
*** new,Complete all six episodes for|any one contestant.,***,Challenges,Challenge achievement,
*** new,Complete the episode named|[quote]Curse of Greed[quote].,***,Challenges,Challenge achievement,
*** new,Complete the episode named|[quote]Finders Keepers[quote].,***,Challenges,Challenge achievement,
*** new,Complete the episode named|[quote]You Choose[;] You Lose[quote].,***,Challenges,Challenge achievement,
*** new,Complete the episode named|[quote]The Inevitability of Rust[quote].,***,Challenges,Challenge achievement,
*** new,Complete the episode named|[quote]Countdown[quote].,***,Challenges,Challenge achievement,
*** new,Complete the episode named|[quote]Losers[;] Weepers[quote].,***,Challenges,Challenge achievement,
*** new,Complete any elimination|round episode.,***,Challenges,Challenge achievement,
*** new,Complete any two elimination|round episodes.,***,Challenges,Challenge achievement,
*** new,Complete any three elimination|round episodes.,***,Challenges,Challenge achievement,
*** new,Complete any four elimination|round episodes.,***,Challenges,Challenge achievement,
*** new,Complete any five elimination|round episodes.,***,Challenges,Challenge achievement,
*** new,Complete all six elimination|round episodes.,***,Challenges,Challenge achievement,
*** new,Complete any parallel|universe episode.,***,Challenges,Challenge achievement,
*** new,Complete any two parallel|universe episodes.,***,Challenges,Challenge achievement,
*** new,Complete any three parallel|universe episodes.,***,Challenges,Challenge achievement,
*** new,Complete any four parallel|universe episodes.,***,Challenges,Challenge achievement,
*** new,Complete any five parallel|universe episodes.,***,Challenges,Challenge achievement,
*** new,Complete all six parallel|universe episodes.,***,Challenges,Challenge achievement,
*** new,Complete any bonus round|episode in hard mode.,***,Challenges,Challenge achievement,
*** new,Complete any two bonus round|episodes in hard mode.,***,Challenges,Challenge achievement,
*** new,Complete any three bonus round|episodes in hard mode.,***,Challenges,Challenge achievement,
*** new,Complete any four bonus round|episodes in hard mode.,***,Challenges,Challenge achievement,
*** new,Complete any five bonus round|episodes in hard mode.,***,Challenges,Challenge achievement,
*** new,Complete all six bonus round|episodes in hard mode.,***,Challenges,Challenge achievement,
*** new,Survive an attack from Cornelius.,***,Challenges,Challenge achievement,
*** new,Defeat a boss with full health.,***,Challenges,Challenge achievement,
*** new,Do more than 40 damage|in a single attack.,***,Challenges,Challenge achievement,
*** new,Defeat an enemy on your first turn.,***,Challenges,Challenge achievement,
*** new,Use your limit break twice|in one turn.,***,Challenges,Challenge achievement,
*** new,Do more than 20 damage in one|turn with Dagger.,***,Challenges,Challenge achievement,
*** new,Roll 10 ones in a row.,***,Challenges,Challenge achievement,
*** new,Defeat a boss at level 4.,***,Challenges,Challenge achievement,
*** new,Complete an episode with [gold]20 gold.,***,Challenges,Challenge achievement,
*** new,Complete an episode as Witch|with four prepared slots.,***,Challenges,Challenge achievement,
*** new,Complete any two episodes|with this contestant.,***,Locked content,,
*** new,Complete any three episodes|with this contestant.,***,Locked content,,
*** new,Complete any four episodes|with this contestant.,***,Locked content,,
*** new,[lock] To unlock EPISODES:,***,Locked content,,
*** new,Play a game with five contestants,***,Locked content,,
*** new,[lock] To unlock this contestant:,***,Locked content,,
*** new,Play a game as Thief,***,Locked content,,
*** new,Play a game with the first three contestants,***,Locked content,,
*** new,Play a game with the first four contestants,***,Locked content,,
*** new,[lock] To open this door:,***,Locked content,,
*** new,Complete all 36 episodes.,***,Locked content,,
*** new,[lock] Locked,***,Locked content,,
*** new,Lady Luck Commands:,***,Lady Luck Boss Fight,,
*** new,The penalty for defying Lady Luck is:,***,Lady Luck Boss Fight,,
*** new,Don't use odd dice!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use even dice!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 1s!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 2s!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 3s!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 4s!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 5s!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 6s!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 3s or lower!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use 4s or higher!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't switch fighters!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't look at my equipment!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use equipment that has a [sword] symbol!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use equipment that has a [fire] symbol!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use equipment that has a [shock] symbol!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use equipment that has a [ice] symbol!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't use equipment that has a [d6] symbol!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Don't reduce any countdowns!,***,Lady Luck Boss Fight,Lady Luck Commands,
*** new,Lose [heart]5 health,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Lose [heart]10 health,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Lose [heart]999 health,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Inflict [poison]5 poison,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Reduce health to [heart]1,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,End your turn immediately,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Next turn[;] gain 99 [curse]Curses,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Next turn[;] [fire]Burn all dice,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Next turn[;] lock [lock]2 dice,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Next turn[;] [blind]Blind all dice,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Lady Luck gains [fury]Fury,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** new,Lady Luck heals [heart]10 health,***,Lady Luck Boss Fight,Lady Luck penalty for disobeying commands,
*** FINALE,The Warrior,***,Various places,Used in some special situations,
*** FINALE,The Thief,***,Various places,Used in some special situations,
*** FINALE,The Robot,***,Various places,Used in some special situations,
*** FINALE,The Inventor,***,Various places,Used in some special situations,
*** FINALE,The Witch,***,Various places,Used in some special situations,
*** FINALE,The Jester,***,Various places,Used in some special situations,
*** FINALE,Frozen_all,Congelado,Status Effect,All of your dice are frozen,
*** FINALE,Burn_all,Quemadura,Status Effect,All of your dice are burnt,
*** FINALE,Frozen_all?,Congelado,Status Effect,All of your dice are frozen,
*** FINALE,Reduce all dice values by 1.,***,Status Effect,Tooltip for Frozen All?,
*** FINALE,Burn_all?,Quemadura,Status Effect,All of your dice are burnt,
*** FINALE,Lose [heart]<value> health at the start of turn. Pierces shields.,Pierde [heart]<value> de salud al empezar el turno. Perfora escudos.|Se reduce 1 en cada turno.,Status Effect,Tooltip for Poison split into two,
*** FINALE,Reduced by 1 on each turn.,Pierde [heart]<value> de salud al empezar el turno. Perfora escudos.|Se reduce 1 en cada turno.,Status Effect,Tooltip for Poison split into two,
*** FINALE,Extra_Turn,***,Status Effect,Take an extra turn next turn,
*** FINALE,Luck,***,Status Effect,Affects chance based items,
*** FINALE,Items that depend on luck have a higher chance to succeed.,***,Status Effect,Tooltip for Luck,
*** FINALE,Luck+,***,Status Effect,Affects chance based items,
*** FINALE,Items that depend on luck work 100% of the time.,***,Status Effect,Tooltip for Luck+,
*** FINALE,CPU_Protect,***,Status Effect,Special status for Robot,
*** FINALE,If you exceed the CPU target[;] reduce CPU by the excess.,***,Status Effect,Tooltip for CPU Protect,
*** FINALE,When you use equipment[;] increase CPU by <value>.,***,Status Effect,Tooltip for CPU Virus,
*** FINALE,Safe_Bet,***,Status Effect,Special status for Robot,
*** FINALE,The next roll won't exceed the CPU target.,***,Status Effect,Tooltip for Safe Bet,
*** FINALE,Mana,***,Status Effect,Parallel Universe Witch concept – stored and used for special cards,
*** FINALE,Mana is used to grant bonus powers on certain cards.|Disappears at the end of the fight.,***,Status Effect,Tooltip for Mana,
*** FINALE,Double_Cast,***,Status Effect,Parallel Universe Witch concept,
*** FINALE,Place two copies of the next spell you cast.,***,Status Effect,Tooltip for Double Cast,
*** FINALE,Vanish,***,Status Effect,Makes dupilated dice disappear – if you have two fives one of the fives will vanish immediately,
*** FINALE,Duplicate dice are immediately destroyed.,***,Status Effect,Tooltip for Vanish,
*** FINALE,Block the next status effect.,***,Status Effect,Tooltip for Parallel Universe Re-Equip Next,
*** FINALE,Restore [heal]<value> health with each attack this turn. ([heal]1 for each [thorns] thorn.),***,Status Effect,New Tooltip for Parallel Universe mode Thorns,
*** FINALE,Locked dice need to be used in the order they are rolled[;] before you can use any other dice.,***,Status Effect,New Tooltip for Parallel Universe mode Lock,
*** FINALE,Counter_1?,Counter_1,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
*** FINALE,Counter_2?,Counter_2,Status Effect,You can ignore the _ character here when translating – same as above but with a question mark,
